genome,completeness,contamination,length,N50
TG5:bin_000052.fa,60.25,2.59,2244298,3549
TG5_07:bin_000002.fa,96.16,3.16,2666673,33037
TG5_07:bin_000015.fa,83.48,11.1,3861417,16639
TG5_14:bin_000012.fa,92.43,5.97,3350279,29011
TG5_14:bin_000023.fa,88.89,9.68,3220342,10666
TG5_21:bin_000003.fa,100.0,0.58,2497863,34895
TG5_21:bin_000019.fa,92.82,6.51,3859545,34037
TG5_28:bin_000003.fa,100.0,0.56,2500811,29662
TG5_35:bin_000004.fa,94.06,4.43,2115256,18744
TG5_35:bin_000023.fa,78.79,10.97,4773021,15100
TG5_35:bin_000026.fa,96.61,8.41,3548645,24500
D300418:bin_000002.fa,99.22,3.25,2896979,10435
D300418:bin_000017.fa,83.46,5.33,2547828,16266
D300418:bin_000019.fa,56.87,3.29,1695022,3151
D300419:bin_000002.fa,94.51,7.08,3069903,25128
D300421:bin_000001.fa,91.73,0.98,2065343,23838
D300421:bin_000014.fa,77.4,5.16,2266726,5425
D300422:bin_000006.fa,90.66,4.78,2729329,9919
D300423:bin_000012.fa,88.22,6.21,3224903,47193
D300424:bin_000001.fa,98.61,1.44,2951940,19953
D300429:bin_000007.fa,90.74,5.65,3461684,31232
D300430:bin_000009.fa,87.28,6.5,3312385,54538
D300431:bin_000003.fa,95.13,1.75,2515871,16733
D300431:bin_000008.fa,79.95,2.2,2545157,4142
D300431:bin_000013.fa,81.88,3.03,3093462,11664
D300431:bin_000016.fa,74.25,1.74,2095670,4452
D300432:bin_000005.fa,99.84,3.53,2647039,36155
D300432:bin_000008.fa,88.33,5.97,3178157,50426
D300434:bin_000004.fa,96.48,4.08,4485053,9148
D300435:bin_000002.fa,99.2,0.28,1909559,27816
D300435:bin_000006.fa,93.48,8.92,3152657,21423
D300435:bin_000011.fa,83.79,4.36,2144552,4837
D300435:bin_000013.fa,77.54,2.84,2400713,9548
D300435:bin_000021.fa,75.22,0.65,3040911,11019
D300436:bin_000003.fa,93.59,6.41,3027025,22465
D300436:bin_000007.fa,92.78,7.12,2482517,20916
D300436:bin_000010.fa,94.5,2.51,2335142,4871
D300437:bin_000003.fa,93.4,0.92,1408783,29045
D300438:bin_000013.fa,75.98,2.87,1880835,7830
D300438:bin_000020.fa,53.06,11.04,3207989,6959
D300439:bin_000010.fa,91.52,8.61,4101370,42579
D300440:bin_000006.fa,91.53,2.33,2319841,22516
D300440:bin_000009.fa,83.59,4.33,2778809,12727
D300441:bin_000019.fa,76.01,5.8,2619087,12455
D300442:bin_000006.fa,95.46,6.25,2348420,17181
D300442:bin_000007.fa,90.22,1.95,2477647,8044
D300443:bin_000017.fa,77.75,5.73,2834837,12346
D300444:bin_000008.fa,88.53,5.86,2762019,13232
D300445:bin_000005.fa,93.78,4.73,2751320,26120
D300445:bin_000010.fa,83.22,4.94,3150951,17566
D300445:bin_000017.fa,95.52,34.77,4620266,8528
D300447:bin_000004.fa,92.12,1.46,2483286,27179
D300447:bin_000010.fa,70.52,1.35,3163055,3393
D300448:bin_000003.fa,98.24,7.59,2854826,15871
D300448:bin_000006.fa,100.0,1.76,2129538,25162
D300448:bin_000012.fa,85.96,2.53,2225103,3776
D300449:bin_000006.fa,86.36,3.41,2271503,8879
D300450:bin_000014.fa,93.18,4.05,3140672,11668
D300451:bin_000001.fa,100.0,2.2,4965842,15837
D300452:bin_000005.fa,94.42,2.53,2729293,38546
D300453:bin_000009.fa,91.83,6.12,3260473,28291
D300454:bin_000002.fa,96.45,9.53,3485810,25572
D300454:bin_000007.fa,87.6,0.67,2909569,16536
D300455:bin_000011.fa,91.72,1.91,3289252,57307
D300457:bin_000006.fa,96.68,8.37,4513479,47931
D300457:bin_000014.fa,77.42,14.45,2807616,3965
D300458:bin_000009.fa,92.16,3.91,2894227,17200
D300458:bin_000014.fa,82.32,5.17,2483277,6792
D300458:bin_000022.fa,69.29,17.88,2937507,2727
D300459:bin_000005.fa,100.0,4.76,3805062,82052
D300463:bin_000004.fa,94.79,2.9,2450362,12976
D300463:bin_000006.fa,97.21,20.29,6941030,34629
D300463:bin_000012.fa,89.61,5.79,2786124,29802
D300463:bin_000023.fa,72.87,6.19,2710663,5570
D300464:bin_000014.fa,77.13,2.77,3134940,30641
D300464:bin_000018.fa,78.64,1.68,2319609,9073
D300464:bin_000021.fa,59.65,3.31,2507292,6957
D300465:bin_000004.fa,88.23,3.99,1859661,6537
D300466:bin_000001.fa,95.12,0.1,2670936,38806
D300466:bin_000005.fa,91.71,5.86,4036923,23178
D300466:bin_000011.fa,86.15,3.92,2366656,13409
D300467:bin_000006.fa,95.56,7.78,2720425,15457
D300467:bin_000022.fa,47.58,0.68,649082,2508
D300468:bin_000012.fa,77.72,4.34,2935777,23504
D300469:bin_000005.fa,87.83,6.58,3279256,34560
D300469:bin_000006.fa,87.75,3.81,2085653,33863
D300469:bin_000015.fa,85.75,9.44,3356201,24061
D300469:bin_000019.fa,57.63,1.56,2257762,3436
D300470:bin_000001.fa,98.92,1.4,2478271,11929
D300470:bin_000010.fa,87.06,5.01,2823084,13277
D300472:bin_000017.fa,83.62,5.35,3153267,31690
D300473:bin_000010.fa,95.47,13.17,3289672,23881
D300474:bin_000012.fa,92.43,1.47,2990431,16092
D300475:bin_000001.fa,99.92,4.9,1914036,79474
D300476:bin_000002.fa,94.13,0.85,2777817,19600
D300478:bin_000020.fa,82.06,9.96,3426891,12416
D300479:bin_000005.fa,96.74,0.23,3497138,10928
D300482:bin_000010.fa,91.71,7.82,1869304,5543
D300482:bin_000016.fa,79.18,2.5,2469324,11086
D300483:bin_000009.fa,94.73,3.88,3690002,25803
D300484:bin_000004.fa,94.73,8.05,4481447,25699
D300485:bin_000004.fa,90.21,4.65,2957537,17330
D300485:bin_000007.fa,89.1,6.81,4642148,45404
D300485:bin_000017.fa,73.87,3.77,1817140,4419
D300486:bin_000006.fa,94.0,4.86,2553813,11140
D300486:bin_000008.fa,88.08,0.98,1816273,6171
D300486:bin_000011.fa,77.16,5.64,4102011,3847
D300488:bin_000006.fa,93.38,1.85,2510693,21353
D300489:bin_000010.fa,78.01,5.22,2699793,12441
D300490:bin_000001.fa,99.81,3.12,2122614,33771
D300490:bin_000002.fa,92.05,0.14,1916936,9770
D300490:bin_000011.fa,75.76,5.62,2190102,6437
D300493:bin_000016.fa,91.99,9.72,4199258,21152
D300494:bin_000016.fa,79.85,3.21,2693835,7250
D300497:bin_000003.fa,98.09,6.23,3551397,39206
D300497:bin_000007.fa,77.01,7.66,2749011,11524
D300499:bin_000007.fa,78.54,3.16,2162519,6585
D300499:bin_000018.fa,67.07,1.9,1933593,7374
D300500:bin_000008.fa,79.23,2.82,1833311,13065
D300500:bin_000014.fa,74.61,0.7,1774220,17717
D300503:bin_000003.fa,91.56,2.55,2097184,41540
D300504:bin_000008.fa,88.73,1.08,2543750,15255
D300504:bin_000010.fa,84.06,4.35,3930420,23572
D300504:bin_000011.fa,80.45,5.15,2037816,5919
D300507:bin_000013.fa,87.27,0.92,2643776,26599
D300508:bin_000001.fa,94.58,0.96,2052133,11155
D300509:bin_000007.fa,79.0,3.88,2353022,24103
D300509:bin_000009.fa,77.36,4.47,2930313,17550
D300509:bin_000019.fa,87.97,25.46,3512039,6661
D300511:bin_000016.fa,81.86,3.13,2669283,7693
D300511:bin_000018.fa,61.6,2.98,1611972,3805
D300511:bin_000019.fa,57.48,0.77,1618044,5898
D300512:bin_000002.fa,94.74,0.8,1950024,14248
D300512:bin_000014.fa,76.34,4.82,1897984,4059
D300512:bin_000017.fa,78.93,3.23,2506688,24967
D300513:bin_000001.fa,98.56,0.93,2531392,17573
D300513:bin_000005.fa,96.93,3.65,2656569,12749
D300514:bin_000001.fa,98.89,4.14,3567105,42741
D300514:bin_000003.fa,96.87,1.71,1619643,21727
D300515:bin_000019.fa,82.17,2.88,2698418,9779
D300517:bin_000005.fa,90.89,1.05,2152329,4961
D300517:bin_000007.fa,86.37,1.89,1715633,6252
D300517:bin_000013.fa,72.48,3.43,1473980,17584
D300517:bin_000017.fa,46.93,0.06,1927628,2602
D300519:bin_000007.fa,97.79,9.03,4624927,35909
D300519:bin_000008.fa,92.36,2.22,2670740,12229
D300520:bin_000010.fa,79.61,3.35,2010607,8027
D300522:bin_000011.fa,84.74,12.57,5063117,13641
D300522:bin_000013.fa,79.1,1.4,2568251,10233
D300523:bin_000012.fa,95.65,4.58,2607566,13849
D300524:bin_000006.fa,86.06,4.86,1427595,5043
D300526:bin_000010.fa,88.06,10.43,4819286,25182
D300526:bin_000014.fa,86.29,2.63,3288674,28346
D300526:bin_000015.fa,83.3,5.72,2677681,18034
D300526:bin_000016.fa,69.32,1.17,2148297,3364
D300526:bin_000018.fa,91.65,5.21,2741575,16451
D300527:bin_000002.fa,94.7,0.0,1779747,14641
D300528:bin_000015.fa,71.48,19.58,4082254,2815
GPB:bin_000010.fa,100.0,0.12,4759851,4759851
GPB:bin_000032.fa,100.0,1.84,4107450,4107450
GPB:bin_000042.fa,95.26,2.41,3767255,3767255
GPB:bin_000049.fa,99.63,1.95,2664463,2664463
GPB:bin_000056.fa,100.0,0.26,2811384,2811384
GPB:bin_000065.fa,98.78,0.43,3007090,3007090
GPB:bin_000066.fa,100.0,1.47,3828015,3828015
GPB:bin_000089.fa,100.0,3.83,4970692,4970692
GPB:bin_000090.fa,99.53,4.36,4173650,4173650
GPB:bin_000111.fa,99.13,0.13,3112005,3112005
GPB:bin_000121.fa,95.69,0.27,2242404,2242404
GPB:bin_000122.fa,98.64,1.38,1719972,1719972
GPB:bin_000123.fa,100.0,0.82,3258929,3258929
GPB:bin_000127.fa,99.41,0.09,2919488,2919488
GPB:bin_000155.fa,84.63,0.12,2444981,1688256
GPB:bin_000159.fa,88.83,2.33,3469269,536953
GPB:bin_000167.fa,100.0,3.32,3600956,1966460
GPB:bin_000172.fa,96.43,1.79,4068582,2195006
GPB:bin_000195.fa,95.71,2.11,1884250,318399
TG1:bin_000001.fa,98.08,0.35,2188283,35234
TG1:bin_000005.fa,99.63,5.93,2694246,35927
TG1:bin_000015.fa,97.97,14.8,3814488,28643
TG1:bin_000032.fa,86.87,2.23,2361298,10457
TG1:bin_000034.fa,87.06,6.47,3447685,9751
TG1:bin_000054.fa,81.64,5.64,2607200,11097
TG1_07:bin_000009.fa,99.78,11.54,5388469,20547
TG1_07:bin_000020.fa,84.92,8.92,3947780,32232
TG1_14:bin_000011.fa,100.0,5.44,4104474,60680
TG1_14:bin_000026.fa,80.42,5.43,3179089,10077
TG1_21:bin_000002.fa,96.31,2.11,2921274,29569
TG1_28:bin_000007.fa,99.07,0.54,1689769,58661
TG1_28:bin_000014.fa,87.05,3.95,2380192,13969
TG1_28:bin_000019.fa,92.1,11.41,2649730,12860
TG1_28:bin_000024.fa,90.38,5.92,2697673,25532
TG1_35:bin_000006.fa,99.64,4.42,2632460,23454
TG1_35:bin_000025.fa,75.31,1.35,2047195,10217
TG1_35:bin_000039.fa,70.65,4.92,1506907,3711
TG2:bin_000035.fa,81.25,7.12,2493504,7716
TG2:bin_000044.fa,86.75,10.42,2981509,11571
TG2:bin_000050.fa,98.66,33.97,5342780,14400
TG2_07:bin_000005.fa,98.19,0.79,2729838,16165
TG2_07:bin_000007.fa,94.46,8.24,2970269,26840
TG2_07:bin_000015.fa,85.0,7.42,3527004,30230
TG2_14:bin_000003.fa,100.0,1.0,2591238,27864
TG2_21:bin_000010.fa,94.68,2.65,1419839,19689
TG2_21:bin_000017.fa,94.19,6.55,4844907,27867
TG2_21:bin_000028.fa,70.0,1.97,3084475,6123
TG2_28:bin_000022.fa,79.95,2.89,2097331,10256
TG2_35:bin_000012.fa,80.85,2.29,3025681,6230
TG3:bin_000031.fa,95.43,5.2,1611070,30394
TG3:bin_000036.fa,94.16,5.93,3151568,16453
TG3:bin_000048.fa,87.68,1.25,2676738,17505
TG3:bin_000057.fa,93.71,12.76,3540587,21375
TG3:bin_000062.fa,80.24,9.09,3443556,10463
TG3:bin_000065.fa,63.13,0.89,2051998,3497
TG3_07:bin_000019.fa,74.41,2.15,2870879,6163
TG3_14:bin_000037.fa,87.64,5.67,2750272,6713
TG3_21:bin_000010.fa,86.54,2.82,2657205,7356
TG3_21:bin_000021.fa,88.62,6.06,2263912,10082
TG3_21:bin_000027.fa,89.67,3.54,3171311,47706
TG3_21:bin_000030.fa,82.13,1.97,2422258,4526
TG3_28:bin_000008.fa,92.04,2.88,2082240,15043
TG3_28:bin_000014.fa,95.73,5.1,2093139,36247
TG3_28:bin_000022.fa,97.26,5.66,4644332,24356
TG3_28:bin_000028.fa,94.56,14.5,3939429,28269
TG3_28:bin_000030.fa,90.01,16.15,3774364,26440
TG3_28:bin_000050.fa,81.02,1.98,2583925,11412
TG3_28:bin_000052.fa,63.99,3.9,1473219,4129
TG3_28:bin_000057.fa,69.59,1.55,2468533,5336
TG3_35:bin_000026.fa,83.84,1.55,2832002,7679
TG3_35:bin_000034.fa,91.9,9.89,3793070,25827
TG4:bin_000004.fa,98.43,0.58,2762180,41292
TG4:bin_000017.fa,92.94,7.07,2672986,9066
TG4:bin_000020.fa,94.66,13.1,3409375,21108
TG4:bin_000021.fa,91.62,6.24,3085223,15975
TG4:bin_000050.fa,74.14,8.67,3154092,9154
TG4_07:bin_000024.fa,90.83,4.24,3099610,12145
TG4_07:bin_000029.fa,68.09,2.98,2299224,8111
TG4_14:bin_000002.fa,90.57,0.81,2752217,42843
TG4_14:bin_000019.fa,88.06,2.43,2437733,28233
TG4_21:bin_000006.fa,96.33,5.48,2406580,53133
TG4_21:bin_000017.fa,82.03,6.98,2006546,13646
TG4_21:bin_000037.fa,69.81,1.49,3276215,8066
TG4_28:bin_000008.fa,96.73,4.67,2073788,20771
TG4_28:bin_000011.fa,95.13,12.17,3585138,25596
TG4_28:bin_000015.fa,90.58,13.04,3284640,25682
TG4_28:bin_000027.fa,91.92,46.14,4874026,8108
TG5:bin_000003.fa,89.25,0.25,2718994,30166
TG5:bin_000010.fa,100.0,8.45,4307315,22226
TG5:bin_000014.fa,91.25,3.86,2103680,18778
TG5:bin_000019.fa,90.4,2.22,3250700,6690
TG5:bin_000028.fa,89.57,6.47,3407437,27874
TG5:bin_000031.fa,98.55,3.04,2419402,15645
TG5_14:bin_000013.fa,87.4,6.68,3698848,44069
TG5_14:bin_000017.fa,87.47,5.59,3975796,38228
TG5_21:bin_000002.fa,92.21,1.33,2619304,57029
TG5_21:bin_000018.fa,85.94,7.21,5366864,21526
TG5_21:bin_000029.fa,70.57,5.08,2212083,6443
TG5_28:bin_000013.fa,90.35,2.02,3088749,45532
TG5_28:bin_000015.fa,88.62,3.59,2452201,11435
TG5_28:bin_000022.fa,90.35,9.26,3645408,30813
TG5_35:bin_000008.fa,94.0,7.1,3032002,47552
TG5_35:bin_000021.fa,97.72,10.69,3884236,28273
D300419:bin_000009.fa,80.5,3.26,3528019,13655
D300419:bin_000012.fa,99.95,27.76,3760570,27707
D300419:bin_000013.fa,71.85,9.03,2478018,8591
D300420:bin_000009.fa,95.75,2.48,5100325,16593
D300420:bin_000015.fa,83.16,3.99,2718273,14472
D300421:bin_000005.fa,90.89,5.2,2445921,9067
D300421:bin_000007.fa,91.9,8.9,4981840,15028
D300422:bin_000002.fa,91.42,0.07,2407224,16685
D300422:bin_000008.fa,89.95,7.07,4409315,20607
D300423:bin_000002.fa,95.66,3.37,4541935,7485
D300423:bin_000005.fa,97.74,3.41,3811845,65477
D300424:bin_000006.fa,79.96,2.2,2168268,7307
D300424:bin_000011.fa,77.75,0.86,2983863,4466
D300425:bin_000006.fa,82.86,4.04,2595054,8154
D300426:bin_000010.fa,80.65,0.61,3534580,3799
D300427:bin_000006.fa,99.9,2.46,3559039,27765
D300428:bin_000009.fa,86.84,0.93,1629044,21003
D300429:bin_000012.fa,77.04,3.92,1846661,4178
D300429:bin_000013.fa,73.5,1.65,2094233,6203
D300430:bin_000001.fa,100.0,4.22,4319017,91372
D300431:bin_000014.fa,90.62,4.94,4498489,6019
D300432:bin_000004.fa,91.57,2.51,2750440,7856
D300433:bin_000009.fa,90.55,1.42,3351914,29868
D300434:bin_000001.fa,90.49,1.78,2561495,34188
D300435:bin_000015.fa,80.7,4.58,2119068,3608
D300436:bin_000008.fa,92.2,4.57,2910856,17510
D300436:bin_000017.fa,82.63,4.62,3752582,19961
D300437:bin_000002.fa,95.28,2.02,4360692,9777
D300438:bin_000007.fa,93.5,3.64,1760155,8646
D300438:bin_000009.fa,90.46,3.96,3024128,8957
D300438:bin_000016.fa,79.27,5.51,3079594,18653
D300439:bin_000019.fa,78.44,5.08,3106227,10393
D300439:bin_000024.fa,82.57,4.66,3226332,5543
D300439:bin_000025.fa,75.27,4.7,2733645,9898
D300440:bin_000001.fa,94.12,0.47,2059206,14697
D300440:bin_000015.fa,83.21,4.95,2128612,7737
D300442:bin_000003.fa,95.08,1.15,2780600,27616
D300442:bin_000004.fa,99.94,1.11,2452017,44374
D300442:bin_000008.fa,90.03,1.19,3347422,45817
D300442:bin_000013.fa,84.8,1.18,2419780,12592
D300442:bin_000017.fa,65.43,12.82,2838653,3554
D300443:bin_000015.fa,79.7,2.85,1907642,5623
D300445:bin_000003.fa,100.0,1.54,3967148,71355
D300445:bin_000007.fa,92.31,6.85,3290581,31275
D300446:bin_000002.fa,95.45,3.26,2728392,19950
D300446:bin_000007.fa,95.28,8.26,3491862,27128
D300446:bin_000009.fa,85.48,2.83,2389780,7521
D300446:bin_000012.fa,76.62,9.86,3953696,13791
D300446:bin_000015.fa,89.68,9.86,4203518,24118
D300448:bin_000019.fa,63.82,0.85,1613184,3588
D300449:bin_000005.fa,80.02,3.47,2464439,11512
D300450:bin_000004.fa,81.42,3.12,3557317,4729
D300450:bin_000015.fa,71.12,1.01,2106500,3832
D300451:bin_000004.fa,90.35,0.02,1412244,16320
D300453:bin_000002.fa,99.27,4.34,3709068,41014
D300453:bin_000012.fa,76.88,4.63,2127483,9355
D300453:bin_000014.fa,80.14,4.38,3189041,17456
D300454:bin_000006.fa,89.46,2.65,2613025,13758
D300456:bin_000011.fa,84.26,6.2,1932865,5652
D300456:bin_000012.fa,93.79,2.62,3220363,31237
D300456:bin_000017.fa,70.01,1.72,1988650,3955
D300457:bin_000010.fa,83.84,4.08,2115808,12590
D300458:bin_000006.fa,98.12,0.12,3111616,41655
D300458:bin_000007.fa,85.71,1.75,2215979,5991
D300459:bin_000002.fa,94.23,0.96,2761384,26197
D300459:bin_000010.fa,97.51,1.41,3208091,24417
D300460:bin_000008.fa,86.94,2.98,3339902,13606
D300462:bin_000006.fa,73.08,2.07,3583795,3131
D300462:bin_000009.fa,94.01,3.29,3364737,43967
D300463:bin_000017.fa,92.68,13.6,5624673,19357
D300464:bin_000015.fa,82.58,1.76,1952416,4076
D300465:bin_000006.fa,85.81,1.57,2422930,30053
D300467:bin_000003.fa,93.74,1.59,2089483,14681
D300467:bin_000010.fa,89.17,6.28,3390393,37846
D300467:bin_000013.fa,75.86,2.07,2944471,2982
D300467:bin_000015.fa,83.39,5.91,3439239,17871
D300468:bin_000002.fa,96.29,1.15,2725311,43264
D300468:bin_000007.fa,94.51,6.34,4237646,25740
D300471:bin_000001.fa,100.0,0.06,2852508,46907
D300471:bin_000008.fa,80.68,2.24,1882958,4366
D300472:bin_000009.fa,95.25,5.48,3721173,29641
D300472:bin_000018.fa,69.11,3.38,3115727,8844
D300473:bin_000009.fa,75.24,2.75,2811847,5329
D300474:bin_000011.fa,75.32,4.07,1665632,3667
D300475:bin_000008.fa,94.06,1.92,2549447,9173
D300475:bin_000021.fa,75.78,1.67,2482535,30091
D300476:bin_000006.fa,91.73,4.46,2207155,7254
D300478:bin_000010.fa,97.01,4.09,3801018,29428
D300478:bin_000021.fa,69.71,1.72,1906039,4204
D300482:bin_000014.fa,78.05,1.91,2003356,10007
D300482:bin_000015.fa,73.93,9.39,3181921,10285
D300483:bin_000010.fa,77.95,1.4,2157923,2472
D300483:bin_000011.fa,76.53,1.25,2117425,10735
D300484:bin_000014.fa,86.31,5.31,2693649,10813
D300484:bin_000018.fa,82.52,2.48,2621425,12957
D300484:bin_000021.fa,62.53,0.29,1739723,6716
D300486:bin_000012.fa,82.29,2.94,1922138,3728
D300486:bin_000014.fa,85.78,13.04,3290188,8543
D300486:bin_000015.fa,81.64,0.11,1970371,8389
D300487:bin_000007.fa,100.0,4.42,3227064,42614
D300488:bin_000004.fa,87.99,5.1,2477848,16762
D300489:bin_000014.fa,89.95,3.02,2445154,11958
D300489:bin_000016.fa,71.4,6.03,1950790,5065
D300490:bin_000013.fa,91.91,7.58,2654796,15365
D300491:bin_000009.fa,86.16,6.23,4357370,8236
D300493:bin_000001.fa,98.5,3.3,2927285,16299
D300493:bin_000005.fa,89.77,2.67,2250396,6259
D300494:bin_000014.fa,74.7,1.39,2741351,40587
D300495:bin_000004.fa,99.87,3.88,2420327,32402
D300495:bin_000006.fa,97.32,2.31,2740836,16628
D300495:bin_000014.fa,93.13,1.32,3546266,9350
D300496:bin_000002.fa,96.05,4.91,2872720,16474
D300496:bin_000004.fa,94.54,1.17,2046138,21391
D300497:bin_000008.fa,86.31,6.11,3241534,26286
D300497:bin_000017.fa,59.73,3.95,1572024,3381
D300499:bin_000006.fa,83.31,4.58,3993747,4228
D300499:bin_000013.fa,75.77,7.81,2795742,4386
D300500:bin_000011.fa,77.57,1.21,1691313,7112
D300501:bin_000002.fa,95.1,3.74,2536480,23207
D300501:bin_000006.fa,98.92,19.96,5265090,18919
D300501:bin_000010.fa,95.36,2.04,4349963,52464
D300503:bin_000011.fa,88.14,5.36,2497524,10312
D300504:bin_000001.fa,99.77,0.29,1788043,31948
D300504:bin_000015.fa,73.44,1.63,1912932,3535
D300505:bin_000005.fa,86.1,5.34,3304720,27120
D300507:bin_000001.fa,95.88,0.99,2639247,18770
D300507:bin_000011.fa,93.22,4.19,2913148,35996
D300508:bin_000002.fa,97.43,0.57,1677278,34647
D300508:bin_000013.fa,73.13,4.61,2423125,4623
D300509:bin_000014.fa,93.57,6.27,3600533,34992
D300509:bin_000016.fa,79.93,3.84,2810537,9874
D300511:bin_000002.fa,97.93,2.57,3340894,41214
D300511:bin_000006.fa,87.15,4.06,2144635,6148
D300513:bin_000006.fa,94.93,11.76,5057093,17844
D300514:bin_000009.fa,82.41,2.58,2516604,6937
D300514:bin_000011.fa,77.57,1.87,2019075,4026
D300515:bin_000010.fa,72.49,2.93,2344764,5066
D300516:bin_000022.fa,58.42,2.84,2428355,5576
D300517:bin_000006.fa,89.88,3.88,3761297,22305
D300518:bin_000009.fa,77.74,2.5,2510564,5843
D300518:bin_000011.fa,99.91,1.47,3563049,14953
D300519:bin_000016.fa,92.45,7.03,3642967,20673
D300520:bin_000004.fa,87.68,4.23,2020903,27987
D300521:bin_000008.fa,92.0,2.66,2428742,10374
D300526:bin_000001.fa,99.62,0.24,2109938,22372
D300527:bin_000005.fa,87.56,1.61,2407881,14112
D300527:bin_000010.fa,87.43,3.44,3103367,22477
GPB:bin_000009.fa,100.0,0.05,5231987,5231987
GPB:bin_000014.fa,100.0,0.15,3303531,3303531
GPB:bin_000028.fa,98.3,0.42,3474651,3474651
GPB:bin_000036.fa,99.99,2.47,3410292,3410292
GPB:bin_000114.fa,97.18,3.22,3417659,3417659
GPB:bin_000140.fa,99.99,1.48,3981591,2322641
GPB:bin_000146.fa,98.3,0.73,3717134,2653635
GPB:bin_000149.fa,98.66,1.72,3969956,2794449
GPB:bin_000161.fa,91.13,1.43,1414746,732373
GPB:bin_000185.fa,98.35,0.79,2413710,995357
GPB:bin_000188.fa,99.95,4.55,2426797,776169
GPB:bin_000199.fa,96.22,7.2,2642150,731530
TG1:bin_000002.fa,100.0,0.0,2754911,54750
TG1:bin_000006.fa,93.56,0.37,2486483,14012
TG1:bin_000011.fa,96.58,1.06,2503834,26525
TG1:bin_000013.fa,96.64,8.61,3459833,24646
TG1:bin_000023.fa,91.61,7.82,2511884,6957
TG1:bin_000031.fa,89.16,10.0,5188541,8000
TG1:bin_000039.fa,89.52,13.04,4323877,11507
TG1:bin_000056.fa,93.59,5.9,3471119,14650
TG1_07:bin_000013.fa,95.01,5.54,2530730,22255
TG1_07:bin_000018.fa,91.77,5.15,3092695,30421
TG1_14:bin_000012.fa,94.08,6.55,2753317,16871
TG1_14:bin_000018.fa,82.58,5.83,3105220,31316
TG1_28:bin_000023.fa,86.67,5.35,2270777,13831
TG1_28:bin_000028.fa,83.45,7.27,2690139,11465
TG1_28:bin_000033.fa,79.57,8.41,3648359,7721
TG1_35:bin_000001.fa,100.0,0.48,2742086,59409
TG1_35:bin_000020.fa,84.04,4.56,2146738,10364
TG1_35:bin_000035.fa,79.74,3.87,3085422,9919
TG2:bin_000004.fa,100.0,2.31,2549582,24433
TG2:bin_000008.fa,99.57,10.52,2798213,16718
TG2:bin_000054.fa,57.11,3.91,2582418,2793
TG2_14:bin_000008.fa,90.04,8.97,2617969,14940
TG2_14:bin_000019.fa,86.43,14.56,3211814,30254
TG2_21:bin_000003.fa,97.92,3.06,2012861,15276
TG2_21:bin_000006.fa,96.69,5.27,2463726,15857
TG2_21:bin_000009.fa,94.4,7.79,3159366,23195
TG2_21:bin_000032.fa,87.15,2.98,3547087,5990
TG2_28:bin_000006.fa,96.14,0.32,2457660,33827
TG2_28:bin_000019.fa,94.11,14.05,3863496,34225
TG2_28:bin_000024.fa,77.07,12.35,4212634,8345
TG2_35:bin_000004.fa,98.47,1.14,2519421,35137
TG2_35:bin_000011.fa,90.65,8.22,3989577,35939
TG2_35:bin_000016.fa,93.6,8.49,4519726,21515
TG2_35:bin_000020.fa,77.48,13.62,4625703,8649
TG2_35:bin_000026.fa,72.6,2.24,1743306,8953
TG3:bin_000006.fa,96.14,1.25,1680109,13856
TG3:bin_000042.fa,85.68,15.21,5230904,16842
TG3:bin_000067.fa,83.32,3.99,2868900,22216
TG3_07:bin_000001.fa,95.95,2.57,2656875,56046
TG3_07:bin_000014.fa,85.79,6.74,3395189,10853
TG3_14:bin_000003.fa,94.89,0.26,1671287,14276
TG3_14:bin_000014.fa,95.01,9.7,3428800,16967
TG3_21:bin_000001.fa,98.6,0.86,2167166,46671
TG3_21:bin_000008.fa,99.99,1.02,2743336,87485
TG3_21:bin_000012.fa,96.48,9.56,1877434,32777
TG3_21:bin_000014.fa,95.51,4.67,2440047,8143
TG3_21:bin_000016.fa,96.6,5.46,2156163,16309
TG3_21:bin_000024.fa,94.51,6.11,3331549,33208
TG3_21:bin_000044.fa,85.99,4.15,3103194,19710
TG3_21:bin_000045.fa,84.35,5.87,2808973,9064
TG3_28:bin_000002.fa,93.43,2.15,2604504,28897
TG3_28:bin_000003.fa,95.09,3.37,3027449,43599
TG3_28:bin_000013.fa,97.9,5.9,1857435,41170
TG3_28:bin_000051.fa,74.52,2.02,2771896,9705
TG3_35:bin_000003.fa,100.0,0.03,2782733,40456
TG3_35:bin_000021.fa,87.25,2.8,1786747,8072
TG4:bin_000005.fa,95.42,5.38,2090171,18886
TG4:bin_000016.fa,95.8,11.25,2485093,10407
TG4:bin_000022.fa,99.95,3.28,3669474,26008
TG4:bin_000045.fa,73.72,4.49,2873710,9521
TG4:bin_000052.fa,87.51,9.14,3945283,13858
TG4:bin_000060.fa,76.5,1.23,2385551,7369
TG4_07:bin_000017.fa,84.22,6.99,2575889,15202
TG4_14:bin_000006.fa,87.65,3.44,3251350,10324
TG4_14:bin_000008.fa,94.93,11.56,3223603,30221
TG4_14:bin_000017.fa,83.91,7.22,3284386,18747
TG4_14:bin_000020.fa,84.22,4.4,2866183,9768
TG4_14:bin_000022.fa,79.34,2.14,2503655,11214
TG4_21:bin_000012.fa,83.11,7.59,2133322,15099
TG4_21:bin_000028.fa,89.32,8.72,3704157,28660
