,occurrences_across_networks,interaction_types
Acutalibacter sp900755895-Faeciplasma gallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pelethomonas intestinigallinarum-Faeciplasma gallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter stercoravium-L-Valine,1,{'co-exclusion'}
Pantothenic acid-L-Proline,1,{'co-occurrence'}
Flavonifractor avistercoris-L-Proline,1,{'co-exclusion'}
Faecousia gallistercoris-Mediterraneibacter intestinigallinarum,1,"{'co-occurrence', 'competition'}"
Flavonifractor avicola-unclassified_Blautia_A,1,"{'competition', 'cooperation', 'co-exclusion'}"
Acutalibacter ornithocaccae-UMGS1370 sp904395885,1,"{'co-occurrence', 'competition'}"
Eisenbergiella sp904392525-Blautia ornithocaccae,1,"{'co-occurrence', 'cooperation', 'competition'}"
CAJFUH01 sp904420155-Lachnoclostridium_B sp002160985,1,"{'co-occurrence', 'competition'}"
Gallacutalibacter pullicola-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-exclusion'}"
Faecousia gallistercoris-Lachnoclostridium_B sp002160985,1,"{'co-occurrence', 'cooperation', 'competition'}"
Eisenbergiella intestinigallinarum-unclassified_Blautia,1,"{'competition', 'co-exclusion'}"
UBA1417 sp900552925-Mediterraneibacter faecavium,1,"{'co-occurrence', 'competition'}"
unclassified_Oscillospiraceae-Mediterraneibacter faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Intestinimonas-Mediterraneibacter faecavium,1,{'co-occurrence'}
Choladocola avistercoris-Mediterraneibacter intestinavium,1,"{'co-occurrence', 'competition'}"
Acutalibacter stercoravium-Eisenbergiella intestinigallinarum,1,"{'co-occurrence', 'competition'}"
Merdivicinus intestinigallinarum-Merdisoma faecalis,1,"{'co-occurrence', 'competition'}"
Lawsonibacter sp900545895-Anaerotignum merdipullorum,1,"{'co-occurrence', 'competition'}"
Dysosmobacter avistercoris-Negativibacillus faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor avicola-Negativibacillus faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaeromassilibacillus stercoravium-Merdivicinus intestinigallinarum,1,"{'co-occurrence', 'competition'}"
Timburyella stercoris-Ruthenibacterium lactatiformans,1,"{'co-occurrence', 'competition'}"
Acutalibacter ornithocaccae-unclassified_Onthovicinus,1,"{'co-occurrence', 'competition'}"
Proteus mirabilis-unclassified_Onthovicinus,1,"{'competition', 'cooperation', 'co-exclusion'}"
Lawsonibacter sp019424865-Timburyella stercoris,1,"{'co-occurrence', 'competition'}"
Klebsiella pneumoniae-Anaeromassilibacillus stercoravium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter sp900545895-Gallacutalibacter pullicola,1,"{'co-occurrence', 'competition'}"
Flavonifractor plautii-Dysosmobacter pullicola,1,"{'co-occurrence', 'competition'}"
Flavonifractor plautii-Lawsonibacter pullicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Ruminococcus_G avistercoris-unclassified_Blautia_A,1,"{'co-occurrence', 'competition'}"
Proteus mirabilis-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerotignum lactatifermentans-L-Serine,1,{'co-occurrence'}
Intestinimonas timonensis-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Agathobaculum stercoravium-L-Asparagine,1,{'co-exclusion'}
Merdisoma faecalis-Total_removed_abd,1,{'co-exclusion'}
Intestinimonas stercoravium-Total_removed_abd,1,{'co-exclusion'}
Lawsonibacter sp900545895-Ligilactobacillus salivarius,1,"{'co-occurrence', 'competition'}"
Faecousia gallistercoris-Clostridium_AQ innocuum,1,"{'competition', 'co-exclusion'}"
Thomasclavelia ramosa-Thomasclavelia spiroformis,1,"{'co-occurrence', 'competition'}"
Copromonas faecavium-Thomasclavelia spiroformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor plautii-Thomasclavelia spiroformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor avicola-Thomasclavelia spiroformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Borkfalkia excrementigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-exclusion'}"
Pelethomonas intestinigallinarum-Massilimicrobiota merdigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gallimonas merdigallinarum-Thomasclavelia ramosa,1,"{'competition', 'co-exclusion'}"
unclassified_Oscillospiraceae-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Blautia_A-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Avimicrobium caecorum-Coproplasma stercorigallinarum,1,"{'competition', 'cooperation', 'co-exclusion'}"
UBA1417 sp900552925-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Blautia-Scatosoma sp900555925,1,"{'co-occurrence', 'competition'}"
Lachnoclostridium_A stercorigallinarum-Borkfalkia sp017886545,1,"{'competition', 'cooperation', 'co-exclusion'}"
Mediterraneibacter faecavium-Borkfalkia sp017886545,1,"{'co-occurrence', 'competition'}"
Anaeromassilibacillus stercoravium-Borkfalkia excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Avimicrobium caecorum-Anaerobutyricum stercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Acutalibacteraceae-Anaerobutyricum stercoris,1,"{'co-occurrence', 'competition'}"
UBA1417 sp900552925-Anaerobutyricum stercoris,1,"{'co-occurrence', 'competition'}"
Metalachnospira gallinarum-Enterocloster excrementigallinarum,1,"{'competition', 'co-exclusion'}"
Fournierella sp002161595-Enterocloster excrementigallinarum,1,"{'competition', 'co-exclusion'}"
Eubacterium_R faecavium-Merdisoma faecalis,1,"{'co-occurrence', 'competition'}"
Anaeromassilibacillus stercoravium-Blautia_A intestinavium,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Eisenbergiella intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Nicotinic acid-L-Isoleucine,1,{'co-occurrence'}
Merdisoma faecalis-Niacinamide,1,{'co-occurrence'}
Flavonifractor avistercoris-L-Threonine,1,{'co-exclusion'}
Lawsonibacter pullicola-L-Proline,1,{'co-occurrence'}
Thomasclavelia ramosa-Pantothenic acid,1,{'co-occurrence'}
Eisenbergiella intestinigallinarum-Pantothenic acid,1,{'co-occurrence'}
CAG-313 sp000433035-L-Glutamic acid,1,{'co-occurrence'}
Holdemania filiformis-L-Glutamic acid,1,{'co-occurrence'}
CAG-313 sp000433035-L-Asparagine,1,{'co-occurrence'}
CAJFUH01 sp904420155-L-Asparagine,1,{'co-occurrence'}
Scatosoma sp904419075-Total_removed_abd,1,{'co-exclusion'}
Dysosmobacter avistercoris-Total_removed_abd,1,{'co-exclusion'}
unclassified_Lawsonibacter-Total_removed_abd,1,{'co-exclusion'}
Thomasclavelia spiroformis-Ligilactobacillus salivarius,1,"{'co-occurrence', 'competition'}"
Eisenbergiella intestinigallinarum-Ligilactobacillus salivarius,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor avistercoris-Lactobacillus johnsonii,1,"{'competition', 'cooperation', 'co-exclusion'}"
Acutalibacter sp900755895-Lactobacillus crispatus,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Merdibacter-CAG-313 sp000433035,1,"{'co-occurrence', 'cooperation', 'competition'}"
Fimimorpha faecalis-CAG-313 sp000433035,1,"{'co-occurrence', 'cooperation', 'competition'}"
CAG-245 sp944388645-CAG-313 sp000433035,1,"{'co-occurrence', 'cooperation', 'competition'}"
Angelakisella sp904420255-Holdemania filiformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faecivivens stercoravium-Holdemania filiformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Galloscillospira_A stercoripullorum-Holdemania filiformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Massilimicrobiota sp002160865-unclassified_Merdibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Merdisoma faecalis-unclassified_Merdibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter faecalis-unclassified_Merdibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter avistercoris-Nicotinic acid,1,{'co-exclusion'}
L-Valine-L-Leucine,1,{'co-occurrence'}
Agathobaculum stercoravium-Clostridium_AQ innocuum,1,"{'co-occurrence', 'competition'}"
CAG-313 sp000433035-L-Aspartic Acid,1,{'co-occurrence'}
Lawsonibacter asaccharolyticus-Anaerotruncus colihominis,1,"{'co-occurrence', 'competition'}"
Flavonifractor avistercoris-Negativibacillus faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum intestinigallinarum-Negativibacillus faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Eubacterium_R-Faecalibacterium faecigallinarum,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Faecivivens stercoravium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor avistercoris-Anaeromassilibacillus stercoravium,1,"{'co-occurrence', 'competition'}"
Alistipes excrementavium-Lawsonibacter sp900545895,1,"{'co-occurrence', 'cooperation', 'competition'}"
Evtepia gabavorous-Acutalibacter stercoravium,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Intestinimonas-Acutalibacter stercoravium,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Acutalibacter sp900755895,1,"{'co-occurrence', 'cooperation', 'competition'}"
L-Serine-Riboflavin,1,{'co-exclusion'}
L-Phenylalanine-Thiamine,1,{'co-occurrence'}
L-Leucine-Thiamine,1,{'co-occurrence'}
Thomasclavelia ramosa-Thiamine,1,{'co-occurrence'}
Dysosmobacter pullicola-Thiamine,1,{'co-occurrence'}
L-Aspartic Acid-L-Tyrosine,1,{'co-occurrence'}
Mediterraneibacter avicola-L-Arginine,1,{'co-occurrence'}
Pyridoxamine-Pyridoxine,1,{'co-occurrence'}
Intestinimonas timonensis-Pyridoxamine,1,{'co-occurrence'}
L-Methionine-L-Phenylalanine,1,{'co-occurrence'}
L-Valine-L-Phenylalanine,1,{'co-exclusion'}
L-Serine-L-Phenylalanine,1,{'co-occurrence'}
Holdemania filiformis-L-Histidine,1,{'co-occurrence'}
Nicotinic acid-L-Aspartic Acid,1,{'co-occurrence'}
L-Alanine-L-Aspartic Acid,1,{'co-occurrence'}
Copromonas faecavium-Clostridium_AQ innocuum,1,"{'competition', 'cooperation', 'co-exclusion'}"
Coproplasma stercorigallinarum-Thomasclavelia spiroformis,1,"{'competition', 'cooperation', 'co-exclusion'}"
Pseudobutyricicoccus lothianensis-Mediterraneibacter merdigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Scatavimonas merdipullorum-Merdimonas faecis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor plautii-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pararuminococcus gallinarum-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter stercoravium-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Akkermansia sp905200945-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Sellimonas intestinalis-Lachnoclostridium_A stercorigallinarum,1,"{'co-occurrence', 'competition'}"
Roslinia sp019419865-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion'}"
Eisenbergiella sp904392525-Sellimonas intestinalis,1,"{'competition', 'co-exclusion'}"
Eisenbergiella intestinigallinarum-Sellimonas intestinalis,1,"{'co-occurrence', 'competition'}"
Pelethomonas intestinigallinarum-Sellimonas intestinalis,1,"{'competition', 'cooperation', 'co-exclusion'}"
Escherichia coli-Sellimonas intestinalis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter sp019424865-Lachnoclostridium_A stercoripullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Merdivicinus excrementipullorum-Caccovicinus merdipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Proteus mirabilis-Caccovicinus merdipullorum,1,"{'competition', 'cooperation', 'co-exclusion'}"
Enterocloster sp944384065-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}"
Agathobaculum sp900557315-Enterocloster excrementipullorum,1,"{'competition', 'co-exclusion'}"
Klebsiella pneumoniae-Enterocloster excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter ornithocaccae-Blautia ornithocaccae,1,"{'co-occurrence', 'competition'}"
Escherichia coli-Blautia ornithocaccae,1,"{'co-occurrence', 'cooperation', 'competition'}"
Choladocola sp944381625-Enterocloster sp944384065,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Mediterraneibacter excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter avicola-Mediterraneibacter sp019418195,1,"{'co-occurrence', 'competition'}"
unclassified_CAG-508-Mediterraneibacter sp019418195,1,"{'co-occurrence', 'cooperation', 'competition'}"
Scybalenecus merdavium-Mediterraneibacter sp019418195,1,"{'co-occurrence', 'competition'}"
unclassified_Mediterraneibacter-Mediterraneibacter avicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Enterocloster excrementipullorum-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter avicola-Merdimonas faecis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerotignum merdipullorum-Thomasclavelia spiroformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Mediterraneibacter-Pullilachnospira stercoravium,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter faecipullorum-Thomasclavelia ramosa,1,"{'co-occurrence', 'competition'}"
Gemmiger avicola-Thomasclavelia ramosa,1,"{'co-occurrence', 'competition'}"
Fournierella sp002161595-Thomasclavelia ramosa,1,"{'co-occurrence', 'competition'}"
Sellimonas intestinalis-Harrysmithimonas galli,1,"{'competition', 'co-exclusion'}"
Mediterraneibacter excrementipullorum-Harrysmithimonas galli,1,"{'competition', 'cooperation', 'co-exclusion'}"
Agathobaculum sp900557315-Harrysmithimonas galli,1,"{'co-occurrence', 'cooperation', 'competition'}"
Spyradocola merdavium-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_CAJFPI01-Alangreenwoodia sp905206455,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Spyradocola merdavium,1,"{'co-occurrence', 'competition'}"
Fimimorpha faecalis-UMGS775 sp900545325,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pararuminococcus gallinarum-UMGS775 sp900545325,1,"{'co-occurrence', 'cooperation', 'competition'}"
Eubacterium_R faecavium-UMGS775 sp900545325,1,"{'co-occurrence', 'competition'}"
unclassified_Lawsonibacter-UMGS775 sp900545325,1,"{'co-occurrence', 'cooperation', 'competition'}"
UMGS1370 sp904395885-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Caccovicinus merdipullorum-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter faecigallinarum-Coproplasma stercorigallinarum,1,"{'competition', 'cooperation', 'co-exclusion'}"
Mediterraneibacter merdigallinarum-Gallimonas merdigallinarum,1,"{'competition', 'cooperation', 'co-exclusion'}"
Heteroclostridium caecigallinarum-Borkfalkia sp944342025,1,"{'co-occurrence', 'competition'}"
Negativibacillus faecipullorum-Borkfalkia excrementigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faeciplasma gallinarum-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Acutalibacteraceae-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'competition'}"
Hungatella_B pullicola-Anaerobutyricum stercoris,1,"{'co-occurrence', 'competition'}"
Flavonifractor avistercoris-Anaerobutyricum stercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Hungatella_B pullicola,1,"{'competition', 'cooperation', 'co-exclusion'}"
Agathobaculum stercoravium-Hungatella_B pullicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Thomasclavelia spiroformis-L-Tryptophan,1,{'co-occurrence'}
