,occurrences_across_networks,interaction_types
Acutalibacter pullistercoris-Merdisoma sp944375745,1,"{'co-exclusion', 'competition'}"
Merdisoma sp944375745-Blautia_A intestinavium,1,"{'co-occurrence', 'competition'}"
Choladocola avistercoris-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Rubneribacter badeniensis-Sellimonas intestinalis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter sp019418195-Mediterraneibacter faecipullorum,1,"{'co-occurrence', 'competition'}"
Acutalibacter ornithocaccae-Clostridium_Q saccharolyticum_A,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter faecavium-Clostridium_Q saccharolyticum_A,1,"{'co-occurrence', 'competition'}"
Fournierella sp002161595-Lachnoclostridium_A stercoripullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gemmiger stercoravium-Blautia stercorigallinarum,1,"{'co-occurrence', 'competition'}"
Neoanaerotignum_A tabaqchaliae-Blautia stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Avimicrobium caecorum-Lachnoclostridium_A stercorigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Flavonifractor avistercoris-UMGS1370 sp904395885,1,"{'co-exclusion', 'competition'}"
Merdisoma faecalis-Lachnoclostridium_A stercorigallinarum,1,"{'co-occurrence', 'competition'}"
Alistipes excrementavium-Mediterraneibacter intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter asaccharolyticus-Mediterraneibacter intestinigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Lachnoclostridium_B sp002160985-Mediterraneibacter intestinigallinarum,1,"{'co-occurrence', 'competition'}"
Intestinimonas timonensis-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faecousia gallistercoris-Copromonas faecavium,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_CAG-508-Mediterraneibacter faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerotignum merdipullorum-Caccovicinus merdipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Salmonella enterica-unclassified_Mediterraneibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaeromassilibacillus stercoravium-Eisenbergiella sp904392525,1,"{'co-occurrence', 'competition'}"
Timburyella stercoris-unclassified_Mediterraneibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Metalachnospira gallinarum-unclassified_Mediterraneibacter,1,"{'co-exclusion', 'competition'}"
Gallacutalibacter pullicola-Mediterraneibacter intestinavium,1,"{'co-occurrence', 'competition'}"
Anaerotignum merdipullorum-Mediterraneibacter faecavium,1,"{'co-occurrence', 'competition'}"
Negativibacillus faecipullorum-Mediterraneibacter sp900761655,1,"{'cooperation', 'co-exclusion', 'competition'}"
Acutalibacter stercoravium-Eisenbergiella sp904392525,1,"{'co-exclusion', 'competition'}"
Gallacutalibacter pullicola-unclassified_Blautia,1,"{'co-occurrence', 'competition'}"
Flavonifractor plautii-Enterocloster excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas stercoravium-Mediterraneibacter excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Coprocola pullicola-Mediterraneibacter faecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Akkermansia sp905200945-Enterocloster sp944384065,1,"{'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Enterocloster sp944384065,1,"{'co-occurrence', 'competition'}"
Avimicrobium caecorum-Enterocloster sp944384065,1,"{'co-occurrence', 'cooperation', 'competition'}"
Choladocola sp944381625-Enterocloster sp944384065,1,"{'co-occurrence', 'competition'}"
unclassified_Oscillospiraceae-Mediterraneibacter intestinigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Dysosmobacter pullicola-Eisenbergiella merdavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Onthovicinus excrementipullorum-Lachnoclostridium_A stercorigallinarum,1,"{'co-occurrence', 'competition'}"
unclassified_Acutalibacteraceae-Mediterraneibacter vanvlietii,1,"{'co-occurrence', 'competition'}"
Merdivicinus excrementipullorum-Spyradocola merdavium,1,"{'co-occurrence', 'competition'}"
Egerieicola faecale-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faeciplasma gallinarum-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter sp019424865-Scatosoma sp904419075,1,"{'co-occurrence', 'cooperation', 'competition'}"
Heteroclostridium caecigallinarum-Borkfalkia sp944342025,1,"{'co-occurrence', 'competition'}"
Gemmiger avicola-Borkfalkia sp944342025,1,"{'co-occurrence', 'competition'}"
Acutalibacter sp900755895-Borkfalkia sp944342025,1,"{'co-occurrence', 'competition'}"
unclassified_Acutalibacteraceae-Borkfalkia excrementigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Pseudobutyricicoccus lothianensis-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter avistercoris-Anaerostipes butyraticus,1,"{'cooperation', 'co-exclusion', 'competition'}"
Blautia ornithocaccae-Anaerobutyricum stercoris,1,"{'co-occurrence', 'competition'}"
Flavonifractor avicola-Anaerobutyricum stercoris,1,"{'cooperation', 'co-exclusion', 'competition'}"
Acutalibacter stercoravium-Hungatella_B pullicola,1,"{'cooperation', 'co-exclusion', 'competition'}"
Lawsonibacter asaccharolyticus-Hungatella_B pullicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Choladocola-Pullilachnospira stercoravium,1,"{'co-exclusion', 'competition'}"
Coproplasma stercorigallinarum-Spyradocola merdavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter faecipullorum-Merdimonas faecis,1,"{'co-occurrence', 'competition'}"
Enterocloster excrementipullorum-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Flavonifractor avistercoris-Enterocloster excrementigallinarum,1,"{'co-exclusion', 'competition'}"
Gemmiger stercoravium-Mediterraneibacter norwichensis,1,"{'co-occurrence', 'competition'}"
Lawsonibacter sp900545895-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter sp900755895-Lachnoclostridium_A stercorigallinarum,1,"{'co-exclusion', 'competition'}"
Mediterraneibacter intestinavium-An181 sp002160325,1,"{'co-occurrence', 'competition'}"
UBA4716 sp905215805-An181 sp002160325,1,"{'co-occurrence', 'competition'}"
Onthovicinus excrementipullorum-Clostridium_Q saccharolyticum_A,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter sp900761655-UMGS1370 sp904395885,1,"{'co-occurrence', 'competition'}"
Gallacutalibacter pullicola-UMGS1370 sp904395885,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter excrementipullorum-Enterocloster excrementipullorum,1,"{'co-exclusion', 'competition'}"
unclassified_Mediterraneibacter-Enterocloster excrementipullorum,1,"{'co-exclusion', 'competition'}"
Caccousia avistercoris-Enterocloster sp944384065,1,"{'co-occurrence', 'competition'}"
Enterocloster sp944384065-Spyradocola merdavium,1,"{'co-occurrence', 'competition'}"
Lawsonibacter asaccharolyticus-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gemmiger stercoravium-Merdisoma sp002160825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Coproplasma stercorigallinarum-treatment_TG2,1,{'co-occurrence'}
Mediterraneibacter vanvlietii-Nicotinic acid,1,{'co-occurrence'}
Mediterraneibacter sp019418195-Nicotinic acid,1,{'co-occurrence'}
Acutalibacter sp900755895-Niacinamide,1,{'co-occurrence'}
L-Valine-L-Threonine,1,{'co-occurrence'}
Merdisoma sp002160825-L-Valine,1,{'co-occurrence'}
Onthovicinus excrementipullorum-L-Valine,1,{'co-occurrence'}
Anaerobutyricum stercoris-L-Proline,1,{'co-occurrence'}
Ornithomonoglobus merdipullorum-Pantothenic acid,1,{'co-occurrence'}
Escherichia coli-L-Asparagine,1,{'co-exclusion'}
Thomasclavelia spiroformis-treatment_TG5,1,{'co-occurrence'}
Ornithomonoglobus merdipullorum-treatment_TG5,1,{'co-occurrence'}
Ruthenibacterium lactatiformans-treatment_TG5,1,{'co-occurrence'}
Lachnoclostridium_B sp002160985-treatment_TG4,1,{'co-occurrence'}
Pullilachnospira stercoravium-treatment_TG3,1,{'co-occurrence'}
Egerieicola faecale-Total_removed_abd,1,{'co-exclusion'}
Coprocola pullicola-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Fournierella sp002161595-Ligilactobacillus salivarius,1,"{'co-occurrence', 'cooperation', 'competition'}"
UBA1417 sp900552925-Ligilactobacillus salivarius,1,"{'cooperation', 'co-exclusion', 'competition'}"
Anaerostipes butyraticus-Lactobacillus gallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Choladocola avistercoris-Lactobacillus johnsonii,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas timonensis-Lactobacillus johnsonii,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas pullistercoris-Lactobacillus crispatus,1,"{'co-occurrence', 'cooperation', 'competition'}"
Borkfalkia sp017886545-Merdibacter merdigallinarum,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter sp019418195-Clostridium_AQ innocuum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Mediterraneibacter norwichensis-Massilimicrobiota merdigallinarum,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter faecigallinarum-Massilimicrobiota merdigallinarum,1,"{'co-occurrence', 'competition'}"
Gemmiger stercoravium-Massilimicrobiota merdigallinarum,1,"{'co-occurrence', 'competition'}"
Agathobaculum stercoravium-Massilimicrobiota merdigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Roslinia sp019419865-Harrysmithimonas galli,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum stercoravium-Harrysmithimonas galli,1,"{'cooperation', 'co-exclusion', 'competition'}"
Eisenbergiella sp904392525-Mediterraneibacter faecigallinarum,1,"{'co-occurrence', 'competition'}"
Anaeromassilibacillus stercoravium-Lachnoclostridium_B sp002160985,1,"{'co-exclusion', 'competition'}"
Lawsonibacter pullicola-Lachnoclostridium_A stercorigallinarum,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter merdigallinarum-treatment_TG2,1,{'co-occurrence'}
unclassified_Lawsonibacter-Pelethomonas intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Lawsonibacter sp019424865,1,"{'co-occurrence', 'competition'}"
Klebsiella pneumoniae-Lawsonibacter sp900545895,1,"{'co-occurrence', 'cooperation', 'competition'}"
Klebsiella pneumoniae-Intestinimonas stercoravium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum intestinigallinarum-Flavonifractor avicola,1,"{'co-occurrence', 'competition'}"
Escherichia coli-Gordonibacter urolithinfaciens,1,"{'cooperation', 'co-exclusion', 'competition'}"
L-Asparagine-L-Histidine,1,{'co-occurrence'}
L-Asparagine-L-Valine,1,{'co-occurrence'}
Pullilachnospira stercoravium-treatment_TG4,1,{'co-occurrence'}
Flavonifractor avistercoris-treatment_TG4,1,{'co-occurrence'}
Bifidobacterium globosum-treatment_TG4,1,{'co-occurrence'}
Mediterraneibacter excrementipullorum-treatment_TG3,1,{'co-exclusion'}
Anaerotignum merdipullorum-treatment_TG3,1,{'co-exclusion'}
Fimicola sp944379995-treatment_TG3,1,{'co-occurrence'}
Flavonifractor avicola-treatment_TG1,1,{'co-occurrence'}
Alistipes excrementavium-Dysosmobacter faecalis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaeromassilibacillus stercoravium-Ligilactobacillus salivarius,1,"{'co-exclusion', 'competition'}"
Lawsonibacter sp900545895-Lactobacillus gallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Anaerotignum merdipullorum-Thomasclavelia spiroformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor avistercoris-Hungatella_B pullicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Blautia ornithocaccae-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Acutalibacter stercoravium-Copromonas faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerotruncus colihominis-Sellimonas intestinalis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Negativibacillus faecipullorum-Sellimonas intestinalis,1,"{'cooperation', 'co-exclusion', 'competition'}"
Fimicola sp944379995-UMGS1370 sp904395885,1,"{'co-occurrence', 'competition'}"
Fournierella sp002161595-Mediterraneibacter merdigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
UBA1417 sp900552925-Eisenbergiella intestinigallinarum,1,"{'co-exclusion', 'competition'}"
Pseudobutyricicoccus lothianensis-Fournierella sp002161595,1,"{'cooperation', 'co-exclusion', 'competition'}"
UBA1417 sp900552925-Anaeromassilibacillus stercoravium,1,"{'co-occurrence', 'competition'}"
Lawsonibacter pullicola-UBA1417 sp900552925,1,"{'co-exclusion', 'competition'}"
Lawsonibacter sp019424865-Pelethomonas intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter sp019424865-Acutalibacter sp900755895,1,"{'co-occurrence', 'competition'}"
Flavonifractor avistercoris-unclassified_Blautia,1,"{'cooperation', 'co-exclusion', 'competition'}"
Flavonifractor plautii-Roslinia sp019419865,1,"{'cooperation', 'co-exclusion', 'competition'}"
Gallacutalibacter pullicola-Eisenbergiella sp904392525,1,"{'co-occurrence', 'competition'}"
UBA1417 sp900552925-Mediterraneibacter faecavium,1,"{'co-occurrence', 'competition'}"
Flavonifractor plautii-Mediterraneibacter faecavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Fournierella sp002161595-unclassified_Mediterraneibacter,1,"{'co-occurrence', 'competition'}"
Negativibacillus faecipullorum-Mediterraneibacter merdigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Ornithomonoglobus merdipullorum-Eisenbergiella merdigallinarum,1,"{'co-occurrence', 'competition'}"
Coprocola pullicola-Eisenbergiella intestinigallinarum,1,"{'co-exclusion', 'competition'}"
Anaeromassilibacillus stercoravium-Eisenbergiella intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Choladocola avistercoris-Merdisoma faecalis,1,"{'co-exclusion', 'competition'}"
Gemmiger avicola-Choladocola sp944381625,1,"{'co-occurrence', 'competition'}"
Caccousia avistercoris-Choladocola sp944381625,1,"{'co-occurrence', 'competition'}"
Acutalibacter sp900755895-Anaerotignum merdipullorum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Lawsonibacter sp900545895-Anaerotignum merdipullorum,1,"{'co-occurrence', 'competition'}"
Acutalibacter stercoravium-Roslinia sp019419865,1,"{'co-exclusion', 'competition'}"
Agathobaculum sp900557315-Roslinia sp019419865,1,"{'co-occurrence', 'competition'}"
Dysosmobacter pullicola-Acutalibacter stercoravium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter ornithocaccae-Anaerotruncus colihominis,1,"{'co-occurrence', 'competition'}"
Dysosmobacter avistercoris-Negativibacillus faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas stercoravium-Negativibacillus faecipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Merdivicinus excrementipullorum-Gemmiger avicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter sp900755895-Gemmiger avicola,1,"{'co-occurrence', 'competition'}"
Pelethomonas intestinigallinarum-Gemmiger avicola,1,"{'cooperation', 'co-exclusion', 'competition'}"
Lawsonibacter sp019424865-Egerieicola faecale,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Egerieicola faecale,1,"{'cooperation', 'co-exclusion', 'competition'}"
Pseudobutyricicoccus lothianensis-Merdivicinus excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pelethomonas intestinigallinarum-Faeciplasma gallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Onthovicinus-Fournierella sp002161595,1,"{'co-occurrence', 'competition'}"
Flavonifractor avicola-unclassified_Onthovicinus,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas stercoravium-unclassified_Acutalibacteraceae,1,"{'cooperation', 'co-exclusion', 'competition'}"
Rubneribacter badeniensis-Gallacutalibacter pullicola,1,"{'co-occurrence', 'competition'}"
L-Serine-L-Isoleucine,1,{'co-occurrence'}
Ornithomonoglobus merdipullorum-L-Aspartic Acid,1,{'co-occurrence'}
Alistipes excrementavium-L-Glutamine,1,{'co-exclusion'}
Lawsonibacter sp019424865-Negativibacillus faecipullorum,1,"{'co-exclusion', 'competition'}"
Anaerotruncus colihominis-Anaerotignum merdipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pelethomonas intestinigallinarum-Anaerotignum merdipullorum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Akkermansia sp905200945-unclassified_Gallispira,1,{'co-occurrence'}
unclassified_Eubacterium_R-unclassified_CAG-273,1,"{'co-occurrence', 'cooperation', 'competition'}"
Egerieicola faecale-unclassified_CAG-269,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faecousia gallistercoris-Roslinia sp019419865,1,"{'cooperation', 'co-exclusion', 'competition'}"
Anaeromassilibacillus stercoravium-Ornithomonoglobus sp904420525,1,"{'co-occurrence', 'competition'}"
Pelethomonas intestinigallinarum-Ornithomonoglobus sp904420525,1,"{'cooperation', 'co-exclusion', 'competition'}"
Enterenecus faecium-UBA4716 sp905215805,1,"{'co-occurrence', 'cooperation', 'competition'}"
Angelakisella sp904420255-unclassified_Ornithomonoglobus_A,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gemmiger avicola-Angelakisella sp904420255,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter ornithocaccae-Angelakisella sp904420255,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Eubacterium_R-Gemmiger stercoravium,1,"{'co-occurrence', 'competition'}"
Heritagella sp905215105-Gemmiger stercoravium,1,"{'co-occurrence', 'competition'}"
Eubacterium_R faecavium-Gemmiger avicola,1,"{'co-occurrence', 'competition'}"
Acutalibacter pullistercoris-Choladocola sp944381625,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Merdivicinus intestinigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Eubacterium_R faecavium-Merdivicinus excrementipullorum,1,"{'co-occurrence', 'competition'}"
Caccousia avistercoris-Faeciplasma gallinarum,1,"{'co-occurrence', 'competition'}"
Gallacutalibacter pullicola-Ruthenibacterium lactatiformans,1,"{'co-occurrence', 'competition'}"
Caccousia avistercoris-Eubacterium_R faecavium,1,"{'co-occurrence', 'competition'}"
Galloscillospira_A stercoripullorum-Eubacterium_R faecavium,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Oscillospiraceae-unclassified_Onthovicinus,1,"{'cooperation', 'co-exclusion', 'competition'}"
Flavonifractor avicola-CAJFUH01 sp904420155,1,"{'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Scatavimonas merdipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gordonibacter urolithinfaciens-Gallacutalibacter pullicola,1,"{'co-exclusion', 'competition'}"
Lawsonibacter sp900545895-Acutalibacter ornithocaccae,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Acutalibacter stercoravium,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Scatomorpha sp900759385,1,"{'co-occurrence', 'competition'}"
HGM12998 sp900756495-unclassified_Lawsonibacter,1,"{'co-occurrence', 'competition'}"
Galloscillospira_A stercoripullorum-Choladocola sp944381625,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pararuminococcus gallinarum-Choladocola sp944381625,1,"{'co-occurrence', 'cooperation', 'competition'}"
L-Glutamic acid-L-Lysine,1,{'co-occurrence'}
Fournierella sp002161595-Mediterraneibacter merdavium,1,"{'co-occurrence', 'competition'}"
unclassified_Mediterraneibacter-unclassified_Blautia_A,1,"{'co-occurrence', 'competition'}"
Flavonifractor avistercoris-Clostridium_Q saccharolyticum_A,1,"{'cooperation', 'co-exclusion', 'competition'}"
Flavonifractor plautii-Clostridium_Q saccharolyticum_A,1,"{'co-occurrence', 'competition'}"
Merdisoma faecalis-Mediterraneibacter faecipullorum,1,"{'co-exclusion', 'competition'}"
Ruthenibacterium lactatiformans-UMGS1370 sp904395885,1,"{'co-occurrence', 'cooperation', 'competition'}"
Roslinia sp019419865-Caccovicinus merdipullorum,1,"{'co-exclusion', 'competition'}"
Dysosmobacter faecalis-Caccovicinus merdipullorum,1,"{'co-occurrence', 'competition'}"
unclassified_Choladocola-Enterocloster excrementipullorum,1,"{'co-occurrence', 'competition'}"
Merdivicinus intestinigallinarum-Enterocloster excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Eisenbergiella sp904392525-Blautia ornithocaccae,1,"{'co-occurrence', 'cooperation', 'competition'}"
Merdivicinus excrementipullorum-Enterocloster sp944384065,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faeciplasma gallinarum-Enterocloster sp944384065,1,"{'co-occurrence', 'cooperation', 'competition'}"
UBA1417 sp900552925-Enterocloster sp944384065,1,"{'co-exclusion', 'competition'}"
Coprocola pullicola-Mediterraneibacter merdavium,1,"{'co-occurrence', 'competition'}"
unclassified_CAG-273-Merdisoma sp002160825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas stercoravium-Choladocola avistercoris,1,"{'co-occurrence', 'competition'}"
unclassified_Eubacterium_R-Merdisoma sp002160825,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Intestinimonas-Lachnoclostridium_B sp002160985,1,"{'co-occurrence', 'competition'}"
Intestinimonas pullistercoris-Lachnoclostridium_B sp002160985,1,"{'co-exclusion', 'competition'}"
Agathobaculum sp900557315-Lachnoclostridium_B sp002160985,1,"{'co-exclusion', 'competition'}"
Merdisoma faecalis-Mediterraneibacter excrementipullorum,1,"{'co-exclusion', 'competition'}"
Dysosmobacter faecalis-unclassified_Blautia,1,{'co-occurrence'}
Acutalibacter pullistercoris-Mediterraneibacter avicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Eisenbergiella intestinigallinarum-Mediterraneibacter faecavium,1,"{'co-occurrence', 'competition'}"
Faecivivens stercoravium-Mediterraneibacter faecavium,1,"{'co-exclusion', 'competition'}"
Ruminococcus_G avistercoris-Mediterraneibacter intestinavium,1,"{'co-occurrence', 'competition'}"
Alistipes excrementavium-unclassified_Mediterraneibacter,1,"{'cooperation', 'co-exclusion', 'competition'}"
Merdivicinus intestinigallinarum-Ruminococcus_G avistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum intestinigallinarum-Eisenbergiella merdigallinarum,1,"{'co-occurrence', 'competition'}"
unclassified_Lawsonibacter-Choladocola avistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum sp900557315-unclassified_Lawsonibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor plautii-Lawsonibacter sp900545895,1,"{'co-occurrence', 'cooperation', 'competition'}"
Alistipes excrementavium-unclassified_Oscillospiraceae,1,"{'cooperation', 'co-exclusion', 'competition'}"
Choladocola avistercoris-Mediterraneibacter excrementipullorum,1,"{'co-occurrence', 'competition'}"
Eisenbergiella intestinigallinarum-Total_removed_abd,1,{'co-exclusion'}
Escherichia coli-Total_removed_abd,1,{'co-exclusion'}
Copromonas faecavium-Thomasclavelia spiroformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter merdigallinarum-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter vanvlietii-Borkfalkia excrementigallinarum,1,"{'co-exclusion', 'competition'}"
UMGS1370 sp904395885-Borkfalkia excrementigallinarum,1,"{'co-exclusion', 'competition'}"
Gallacutalibacter pullicola-Anaerobutyricum stercoris,1,"{'cooperation', 'co-exclusion', 'competition'}"
Merdivicinus intestinigallinarum-Hungatella_B pullicola,1,"{'cooperation', 'co-exclusion', 'competition'}"
Pullilachnospira stercoravium-Mediterraneibacter vanvlietii,1,"{'co-occurrence', 'competition'}"
Klebsiella pneumoniae-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas pullistercoris-Sellimonas intestinalis,1,"{'co-occurrence', 'competition'}"
Clostridium_Q saccharolyticum_A-Lachnoclostridium_A stercoripullorum,1,"{'co-exclusion', 'competition'}"
Escherichia coli-UMGS1370 sp904395885,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter stercoravium-Mediterraneibacter faecigallinarum,1,"{'co-exclusion', 'competition'}"
Flavonifractor plautii-Eisenbergiella sp904392525,1,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas pullistercoris-Intestinimonas timonensis,1,"{'co-exclusion', 'competition'}"
Klebsiella pneumoniae-Eisenbergiella intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter stercoravium-Anaerotignum merdipullorum,1,"{'co-occurrence', 'competition'}"
Ornithomonoglobus merdipullorum-Tyzzerella sp944383305,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum stercoravium-Ornithomonoglobus merdipullorum,1,"{'co-exclusion', 'competition'}"
Gallacutalibacter pullicola-Negativibacillus faecipullorum,1,"{'co-exclusion', 'competition'}"
Flavonifractor avistercoris-Acutalibacter stercoravium,1,"{'cooperation', 'co-exclusion', 'competition'}"
Onthovicinus excrementipullorum-Thiamine,1,{'co-occurrence'}
L-Leucine-L-Tryptophan,1,{'co-occurrence'}
Mediterraneibacter norwichensis-L-Tyrosine,1,{'co-exclusion'}
Eisenbergiella merdigallinarum-L-Tyrosine,1,{'co-occurrence'}
Mediterraneibacter norwichensis-Pyridoxamine,1,{'co-occurrence'}
L-Lysine-L-Phenylalanine,1,{'co-occurrence'}
Mediterraneibacter faecavium-L-Histidine,1,{'co-occurrence'}
Lachnoclostridium_B sp002160985-L-Methionine,1,{'co-exclusion'}
Clostridium_Q saccharolyticum_A-Total_removed_abd,1,{'co-exclusion'}
Ligilactobacillus salivarius-treatment_TG1,1,{'co-occurrence'}
Intestinimonas pullistercoris-treatment_TG2,1,{'co-occurrence'}
Hungatella_B pullicola-treatment_TG2,1,{'co-occurrence'}
Flavonifractor avistercoris-Intestinimonas pullistercoris,1,"{'co-exclusion', 'competition'}"
Escherichia coli-Flavonifractor plautii,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pseudobutyricicoccus lothianensis-Flavonifractor avicola,1,"{'cooperation', 'co-exclusion', 'competition'}"
Gordonibacter urolithinfaciens-Pseudobutyricicoccus lothianensis,1,"{'co-occurrence', 'cooperation', 'competition'}"
UBA1417 sp900552925-a-Tocopheryl acetate,1,{'co-exclusion'}
L-Proline-Riboflavin,1,{'co-occurrence'}
Eisenbergiella sp904392525-Riboflavin,1,{'co-occurrence'}
Total_removed_abd-L-Tryptophan,1,{'co-exclusion'}
L-Aspartic Acid-L-Arginine,1,{'co-occurrence'}
L-Valine-L-Histidine,1,{'co-occurrence'}
Dysosmobacter avistercoris-L-Methionine,1,{'co-exclusion'}
L-Asparagine-L-Glutamine,1,{'co-occurrence'}
L-Glutamic acid-L-Aspartic Acid,1,{'co-occurrence'}
L-Asparagine-L-Aspartic Acid,1,{'co-occurrence'}
Pullilachnospira stercoravium-L-Aspartic Acid,1,{'co-occurrence'}
Anaeromassilibacillus stercoravium-L-Aspartic Acid,1,{'co-exclusion'}
