,occurrences_across_networks,interaction_types,networks_with_the_edge
Pelethomonas intestinigallinarum-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG5'}
Acutalibacter sp900755895-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG5'}
Faecousia gallistercoris-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-exclusion'}",{'TG5'}
Flavonifractor avicola-Scatavimonas merdipullorum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Evtepia gabavorous-Scatavimonas merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Scatomorpha sp900759385-Scatavimonas merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Escherichia coli-unclassified_Acutalibacteraceae,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Evtepia gabavorous-unclassified_Acutalibacteraceae,1,"{'competition', 'co-occurrence'}",{'TG5'}
Agathobaculum sp900557315-Fimenecus stercoravium,1,"{'competition', 'co-occurrence'}",{'TG5'}
Pelethomonas intestinigallinarum-Faecivivens stercoravium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Flavonifractor plautii-Merdivicinus intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Anaeromassilibacillus stercoravium-Anaerotruncus colihominis,1,"{'competition', 'co-occurrence'}",{'TG5'}
L-Glutamic acid-Pyridoxine,1,{'co-exclusion'},{'day35'}
Faecalibacterium faecigallinarum-L-Phenylalanine,1,{'co-occurrence'},{'day35'}
Acutalibacter sp900755895-Ligilactobacillus salivarius,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Gallacutalibacter pullicola-treatment_TG4,1,{'co-exclusion'},{'day35'}
Mediterraneibacter pullicola-Ligilactobacillus salivarius,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Mediterraneibacter pullicola-Total_removed_abd,1,{'co-occurrence'},{'day35'}
unclassified_Oscillospiraceae-treatment_TG1,1,{'co-occurrence'},{'day35'}
Avimicrobium caecorum-treatment_TG1,1,{'co-occurrence'},{'day35'}
unclassified_Blautia_A-treatment_TG1,1,{'co-exclusion'},{'day35'}
Mediterraneibacter intestinigallinarum-treatment_TG1,1,{'co-occurrence'},{'day35'}
Borkfalkia sp017886545-treatment_TG1,1,{'co-occurrence'},{'day35'}
Galloscillospira_A stercoripullorum-treatment_TG2,1,{'co-occurrence'},{'day35'}
Choladocola sp944381625-treatment_TG2,1,{'co-exclusion'},{'day35'}
Spyradocola merdavium-treatment_TG2,1,{'co-exclusion'},{'day35'}
Eisenbergiella merdavium-treatment_TG3,1,{'co-occurrence'},{'day35'}
Anaerostipes excrementavium-treatment_TG3,1,{'co-occurrence'},{'day35'}
Coproplasma avistercoris-treatment_TG4,1,{'co-occurrence'},{'day35'}
Lactobacillus johnsonii-L-Aspartic Acid,1,{'co-occurrence'},{'day35'}
Scatomorpha sp900759385-treatment_TG5,1,{'co-occurrence'},{'day35'}
Coproplasma avistercoris-Clostridium_AQ sp900552125,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Acutalibacter sp900755895-L-Asparagine,1,{'co-exclusion'},{'day35'}
Gordonibacter urolithinfaciens-L-Glutamic acid,1,{'co-occurrence'},{'day35'}
Coprocola pullicola-L-Glutamic acid,1,{'co-occurrence'},{'day35'}
Mediterraneibacter merdavium-Pantothenic acid,1,{'co-occurrence'},{'day35'}
Agathobaculum sp900291975-L-Serine,1,{'co-occurrence'},{'day35'}
Ornithomonoglobus merdipullorum-L-Proline,1,{'co-occurrence'},{'day35'}
L-Asparagine-L-Threonine,1,{'co-occurrence'},{'day35'}
Limosilactobacillus reuteri_E-Niacinamide,1,{'co-occurrence'},{'day35'}
Anaerostipes butyraticus-L-Leucine,1,{'co-occurrence'},{'day35'}
Acutalibacter stercoravium-L-Aspartic Acid,1,{'co-exclusion'},{'day35'}
Pullichristensenella excrementipullorum-treatment_TG5,1,{'co-occurrence'},{'day35'}
Merdivicinus excrementipullorum-Heteroclostridium caecigallinarum,1,"{'competition', 'co-occurrence'}",{'day35'}
Heritagella sp905215105-Clostridium_AQ sp900552125,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Enterenecus faecium-UBA4716 sp905215805,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Akkermansia sp905200945-unclassified_Gallispira,1,{'co-occurrence'},{'day35'}
unclassified_Eubacterium_R-unclassified_CAG-273,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Egerieicola faecale-unclassified_CAG-269,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Faecousia gallistercoris-Roslinia sp019419865,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Anaeromassilibacillus stercoravium-Ornithomonoglobus sp904420525,1,"{'competition', 'co-occurrence'}",{'day35'}
Pelethomonas intestinigallinarum-Ornithomonoglobus sp904420525,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Angelakisella sp904420255-unclassified_Ornithomonoglobus_A,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Anaerotruncus colihominis-Anaerotignum merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Gemmiger avicola-Angelakisella sp904420255,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Acutalibacter ornithocaccae-Angelakisella sp904420255,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
unclassified_Eubacterium_R-Gemmiger stercoravium,1,"{'competition', 'co-occurrence'}",{'day35'}
Heritagella sp905215105-Gemmiger stercoravium,1,"{'competition', 'co-occurrence'}",{'day35'}
Lawsonibacter sp019424865-Negativibacillus faecipullorum,1,"{'competition', 'co-exclusion'}",{'day35'}
Eubacterium_R faecavium-Gemmiger avicola,1,"{'competition', 'co-occurrence'}",{'day35'}
Pelethomonas intestinigallinarum-Anaerotignum merdipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Galloscillospira_A stercoripullorum-Choladocola sp944381625,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
unclassified_CAG-273-Merdisoma sp002160825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Faecivivens stercoravium-Mediterraneibacter faecavium,1,"{'competition', 'co-exclusion'}",{'day35'}
unclassified_Intestinimonas-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-occurrence'}",{'day35'}
Intestinimonas pullistercoris-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-exclusion'}",{'day35'}
Agathobaculum sp900557315-Lachnoclostridium_B sp002160985,1,"{'competition', 'co-exclusion'}",{'day35'}
Merdisoma faecalis-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-exclusion'}",{'day35'}
Acutalibacter pullistercoris-Mediterraneibacter avicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Eisenbergiella intestinigallinarum-Mediterraneibacter faecavium,1,"{'competition', 'co-occurrence'}",{'day35'}
Ruminococcus_G avistercoris-Mediterraneibacter intestinavium,1,"{'competition', 'co-occurrence'}",{'day35'}
Acutalibacter pullistercoris-Choladocola sp944381625,1,"{'competition', 'co-occurrence'}",{'day35'}
Alistipes excrementavium-unclassified_Mediterraneibacter,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Merdivicinus intestinigallinarum-Ruminococcus_G avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Dysosmobacter pullicola-Eisenbergiella merdavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Agathobaculum intestinigallinarum-Eisenbergiella merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Lawsonibacter-Choladocola avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Pararuminococcus gallinarum-Choladocola sp944381625,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Pseudobutyricicoccus lothianensis-Merdivicinus intestinigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Eubacterium_R faecavium-Merdivicinus excrementipullorum,1,"{'competition', 'co-occurrence'}",{'day35'}
Caccousia avistercoris-Faeciplasma gallinarum,1,"{'competition', 'co-occurrence'}",{'day35'}
Eisenbergiella merdigallinarum-Niacinamide,1,{'co-exclusion'},{'TG4'}
Pullilachnospira stercoravium-L-Tyrosine,1,{'co-exclusion'},{'TG4'}
Flavonifractor avistercoris-L-Arginine,1,{'co-exclusion'},{'TG4'}
Acutalibacter ornithocaccae-Pyridoxine,1,{'co-occurrence'},{'TG4'}
Flavonifractor plautii-Pyridoxine,1,{'co-occurrence'},{'TG4'}
Dysosmobacter faecalis-L-Methionine,1,{'co-occurrence'},{'TG4'}
Faecivivens stercoravium-L-Isoleucine,1,{'co-occurrence'},{'TG4'}
Heritagella sp905215105-Niacinamide,1,{'co-occurrence'},{'TG4'}
Gallacutalibacter pullicola-Ruthenibacterium lactatiformans,1,"{'competition', 'co-occurrence'}",{'day35'}
Lawsonibacter pullicola-Niacinamide,1,{'co-exclusion'},{'TG4'}
Rubneribacter badeniensis-L-Valine,1,{'co-exclusion'},{'TG4'}
Rubneribacter badeniensis-L-Serine,1,{'co-exclusion'},{'TG4'}
Pullilachnospira stercoravium-Pantothenic acid,1,{'co-occurrence'},{'TG4'}
Enterocloster excrementigallinarum-Pantothenic acid,1,{'co-occurrence'},{'TG4'}
Eisenbergiella sp904392525-Pantothenic acid,1,{'co-occurrence'},{'TG4'}
L-Lysine-L-Tryptophan,1,{'co-occurrence'},{'TG4'}
Caccovicinus merdipullorum-a-Tocopheryl acetate,1,{'co-exclusion'},{'TG4'}
L-Lysine-a-Tocopheryl acetate,1,{'co-occurrence'},{'TG4'}
Gordonibacter urolithinfaciens-Pseudobutyricicoccus lothianensis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Pseudobutyricicoccus lothianensis-Flavonifractor avicola,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Flavonifractor avistercoris-Intestinimonas pullistercoris,1,"{'competition', 'co-exclusion'}",{'day35'}
Alistipes excrementavium-unclassified_Oscillospiraceae,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Agathobaculum sp900557315-unclassified_Lawsonibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
HGM12998 sp900756495-unclassified_Lawsonibacter,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Lawsonibacter-Scatomorpha sp900759385,1,"{'competition', 'co-occurrence'}",{'day35'}
Pseudobutyricicoccus lothianensis-Acutalibacter stercoravium,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Gordonibacter urolithinfaciens-Gallacutalibacter pullicola,1,"{'competition', 'co-exclusion'}",{'day35'}
unclassified_Lawsonibacter-Scatavimonas merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Flavonifractor avicola-CAJFUH01 sp904420155,1,"{'competition', 'co-exclusion'}",{'day35'}
unclassified_Oscillospiraceae-unclassified_Onthovicinus,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Galloscillospira_A stercoripullorum-Eubacterium_R faecavium,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Caccousia avistercoris-Eubacterium_R faecavium,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Eubacterium_R-Merdisoma sp002160825,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Fournierella sp002161595-Mediterraneibacter merdavium,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Blautia-Thomasclavelia spiroformis,1,"{'competition', 'co-exclusion'}",{'day35'}
Lawsonibacter sp019424865-Borkfalkia sp904373255,1,"{'competition', 'co-exclusion'}",{'day35'}
Dysosmobacter avistercoris-Borkfalkia sp017886545,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Anaerostipes excrementavium-Borkfalkia sp904374385,1,"{'competition', 'co-exclusion'}",{'day35'}
Eisenbergiella merdavium-Borkfalkia sp904374385,1,"{'competition', 'co-occurrence'}",{'day35'}
Clostridium_Q saccharolyticum_A-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Onthovicinus excrementipullorum-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence'}",{'day35'}
UBA1417 sp900552925-Borkfalkia sp904373255,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Blautia_A-Borkfalkia faecigallinarum,1,"{'competition', 'co-occurrence'}",{'day35'}
Fimimorpha faecalis-Scatosoma sp900555925,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
unclassified_Onthovicinus-Borkfalkia faecigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Dysosmobacter faecalis-Borkfalkia faecigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Lawsonibacter sp019424865-Borkfalkia excrementigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Choladocola avistercoris-Borkfalkia ceftriaxoniphila,1,"{'competition', 'co-exclusion'}",{'day35'}
UBA4716 sp905215805-Borkfalkia ceftriaxoniphila,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Angelakisella sp904420255-Heteroclostridium caecigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Gemmiger stercoravium-Scatosoma sp900555925,1,"{'competition', 'co-occurrence'}",{'day35'}
Rubneribacter badeniensis-Gallimonas merdigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Coprocola pullicola-Mediterraneibacter merdavium,1,"{'competition', 'co-occurrence'}",{'day35'}
Heteroclostridium caecigallinarum-Spyradocola merdavium,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Agathobaculum intestinigallinarum-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Mediterraneibacter intestinavium-Harrysmithimonas galli,1,"{'competition', 'co-exclusion'}",{'day35'}
Faecivivens stercoravium-Harrysmithimonas galli,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Coproplasma avistercoris-Romboutsia sp904418825,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Ornithomonoglobus merdipullorum-Pullichristensenella excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Fimenecus stercoravium-Pullichristensenella excrementipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
unclassified_CAG-273-Spyradocola merdavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
CAG-273 sp944392105-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Caccousia avistercoris-UMGS775 sp900545325,1,"{'competition', 'co-occurrence'}",{'day35'}
Eisenbergiella merdigallinarum-Coproplasma stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Choladocola avistercoris-Coproplasma stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Lachnoclostridium_A sp002160755-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Blautia stercorigallinarum-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Neoanaerotignum_A tabaqchaliae-Coproplasma avistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Gemmiger avicola-Heteroclostridium caecigallinarum,1,{'co-exclusion'},{'day35'}
UBA1417 sp900552925-Choladocola avistercoris,1,"{'competition', 'co-occurrence'}",{'TG5'}
unclassified_Lawsonibacter-Heteroclostridium caecigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Merdisoma faecalis-Mediterraneibacter faecipullorum,1,"{'competition', 'co-exclusion'}",{'day35'}
unclassified_Oscillospiraceae-Mediterraneibacter intestinigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Gemmiger avicola-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion'}",{'day35'}
Onthovicinus excrementipullorum-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'day35'}
Lawsonibacter pullicola-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Mediterraneibacter-unclassified_Blautia_A,1,"{'competition', 'co-occurrence'}",{'day35'}
Flavonifractor avistercoris-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Ruthenibacterium lactatiformans-UMGS1370 sp904395885,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Neoanaerotignum_A tabaqchaliae-Anaerostipes butyraticus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Roslinia sp019419865-Caccovicinus merdipullorum,1,"{'competition', 'co-exclusion'}",{'day35'}
Dysosmobacter faecalis-Caccovicinus merdipullorum,1,"{'competition', 'co-occurrence'}",{'day35'}
unclassified_Choladocola-Enterocloster excrementipullorum,1,"{'competition', 'co-occurrence'}",{'day35'}
Merdivicinus excrementipullorum-Enterocloster sp944384065,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Faeciplasma gallinarum-Enterocloster sp944384065,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
UBA1417 sp900552925-Enterocloster sp944384065,1,"{'competition', 'co-exclusion'}",{'day35'}
Negativibacillus faecipullorum-Mediterraneibacter intestinigallinarum,1,"{'competition', 'co-exclusion'}",{'day35'}
Agathobaculum stercoravium-Copromonas faecavium,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
unclassified_Lawsonibacter-Mediterraneibacter norwichensis,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
UMGS1370 sp904395885-Mediterraneibacter norwichensis,1,"{'competition', 'co-exclusion'}",{'day35'}
Gordonibacter urolithinfaciens-Merdimonas faecis,1,"{'competition', 'co-occurrence'}",{'day35'}
UBA4716 sp905215805-Pullilachnospira stercoravium,1,"{'competition', 'co-occurrence'}",{'day35'}
Copromonas faecavium-Pullilachnospira stercoravium,1,"{'competition', 'co-exclusion'}",{'day35'}
Scatomorpha sp900759385-Mediterraneibacter sp944381495,1,"{'competition', 'co-occurrence'}",{'day35'}
CAG-273 sp944392105-Lachnoclostridium_A sp002160755,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
Merdisoma sp002160825-Lachnoclostridium_A sp002160755,1,"{'competition', 'co-occurrence'}",{'day35'}
Evtepia gabavorous-Anaerobutyricum faecale,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Mediterraneibacter vanvlietii-Anaerobutyricum faecale,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Mediterraneibacter merdavium-Fimimorpha faecalis,1,"{'competition', 'co-occurrence'}",{'day35'}
Faecousia gallistercoris-Anaerobutyricum stercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Anaerobutyricum faecale-Anaerobutyricum stercoris,1,"{'competition', 'co-exclusion'}",{'day35'}
Pullilachnospira stercoravium-Anaerostipes excrementavium,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Faecalibacterium faecigallinarum-Anaerostipes butyraticus,1,"{'competition', 'co-occurrence'}",{'day35'}
Proteus mirabilis-Choladocola avistercoris,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Intestinimonas stercoravium-Negativibacillus faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day21'}
Dysosmobacter faecalis-Merdisoma faecalis,1,"{'competition', 'co-occurrence'}",{'TG5'}
Rubneribacter badeniensis-Sellimonas intestinalis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Anaerotruncus colihominis-Ornithomonoglobus merdipullorum,1,"{'competition', 'co-exclusion'}",{'day28'}
Rubneribacter badeniensis-unclassified_Gallispira,1,{'co-exclusion'},{'day28'}
Escherichia coli-Anaerotignum merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Agathobaculum sp900291975-Anaerotignum lactatifermentans,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Dysosmobacter pullicola-unclassified_Choladocola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Anaeromassilibacillus stercoravium-unclassified_Choladocola,1,"{'competition', 'co-occurrence'}",{'day28'}
Merdisoma sp944375745-Blautia_A intestinavium,1,"{'competition', 'co-occurrence'}",{'day28'}
Salmonella enterica-unclassified_Mediterraneibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Timburyella stercoris-unclassified_Mediterraneibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Metalachnospira gallinarum-unclassified_Mediterraneibacter,1,"{'competition', 'co-exclusion'}",{'day28'}
Gallacutalibacter pullicola-Mediterraneibacter intestinavium,1,"{'competition', 'co-occurrence'}",{'day28'}
Anaerotignum merdipullorum-Mediterraneibacter faecavium,1,"{'competition', 'co-occurrence'}",{'day28'}
Negativibacillus faecipullorum-Mediterraneibacter sp900761655,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Acutalibacter stercoravium-Eisenbergiella sp904392525,1,"{'competition', 'co-exclusion'}",{'day28'}
Anaeromassilibacillus stercoravium-Eisenbergiella sp904392525,1,"{'competition', 'co-occurrence'}",{'day28'}
Gallacutalibacter pullicola-unclassified_Blautia,1,"{'competition', 'co-occurrence'}",{'day28'}
Intestinimonas stercoravium-Mediterraneibacter excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Coprocola pullicola-Mediterraneibacter faecigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Akkermansia sp905200945-Enterocloster sp944384065,1,"{'competition', 'co-exclusion'}",{'day28'}
unclassified_Lawsonibacter-Enterocloster sp944384065,1,"{'competition', 'co-occurrence'}",{'day28'}
Avimicrobium caecorum-Enterocloster sp944384065,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Flavonifractor plautii-Enterocloster excrementipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Anaerotignum merdipullorum-Caccovicinus merdipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Flavonifractor avistercoris-UMGS1370 sp904395885,1,"{'competition', 'co-exclusion'}",{'day28'}
unclassified_CAG-508-Mediterraneibacter faecipullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Acutalibacter ornithocaccae-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence'}",{'day28'}
Mediterraneibacter faecavium-Clostridium_Q saccharolyticum_A,1,"{'competition', 'co-occurrence'}",{'day28'}
Fournierella sp002161595-Lachnoclostridium_A stercoripullorum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Gemmiger stercoravium-Blautia stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Faeciplasma gallinarum-Avimicrobium caecorum,1,"{'competition', 'co-exclusion'}",{'day28'}
unclassified_Lawsonibacter-Gemmiger avicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Pseudobutyricicoccus lothianensis-Gemmiger avicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Agathobaculum stercoravium-Anaeromassilibacillus stercoravium,1,"{'competition', 'co-occurrence'}",{'day28'}
Lachnoclostridium_B sp002160985-L-Methionine,1,{'co-exclusion'},{'day21'}
Mediterraneibacter faecavium-L-Histidine,1,{'co-occurrence'},{'day21'}
L-Lysine-L-Phenylalanine,1,{'co-occurrence'},{'day21'}
Mediterraneibacter norwichensis-Pyridoxamine,1,{'co-occurrence'},{'day21'}
Eisenbergiella merdigallinarum-L-Tyrosine,1,{'co-occurrence'},{'day21'}
Mediterraneibacter norwichensis-L-Tyrosine,1,{'co-exclusion'},{'day21'}
Onthovicinus excrementipullorum-Thiamine,1,{'co-occurrence'},{'day21'}
Agathobaculum intestinigallinarum-Lawsonibacter asaccharolyticus,1,"{'competition', 'co-exclusion'}",{'day28'}
Intestinimonas timonensis-Lawsonibacter pullicola,1,"{'competition', 'co-occurrence'}",{'day28'}
Escherichia coli-Faecousia gallistercoris,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Lawsonibacter sp900545895-Acutalibacter stercoravium,1,"{'competition', 'co-occurrence'}",{'day28'}
Lawsonibacter sp019424865-UBA1417 sp900552925,1,"{'competition', 'co-exclusion'}",{'day28'}
Pelethomonas intestinigallinarum-UBA1417 sp900552925,1,"{'competition', 'co-exclusion'}",{'day28'}
Acutalibacter pullistercoris-Caccousia avistercoris,1,"{'competition', 'co-occurrence'}",{'day28'}
Heritagella sp905215105-Faecalibacterium faecigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Agathobaculum stercoravium-Scatavimonas merdipullorum,1,"{'competition', 'co-exclusion'}",{'day28'}
Dysosmobacter avistercoris-unclassified_Acutalibacteraceae,1,"{'competition', 'co-exclusion'}",{'day28'}
UBA1417 sp900552925-CAJFUH01 sp904420155,1,"{'competition', 'co-exclusion'}",{'day28'}
Lawsonibacter sp019424865-Fournierella sp002161595,1,"{'competition', 'co-exclusion'}",{'day28'}
CAJFUH01 sp904420155-Fournierella sp002161595,1,"{'competition', 'co-occurrence'}",{'day28'}
Gordonibacter urolithinfaciens-Ruthenibacterium lactatiformans,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Pseudobutyricicoccus lothianensis-Faeciplasma gallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
unclassified_Lawsonibacter-Faeciplasma gallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Acutalibacter pullistercoris-Faeciplasma gallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
unclassified_Lawsonibacter-Merdivicinus excrementipullorum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Acutalibacter pullistercoris-Merdivicinus excrementipullorum,1,"{'competition', 'co-occurrence'}",{'day28'}
Escherichia coli-Merdivicinus intestinigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Faecousia gallistercoris-Faecalibacterium faecigallinarum,1,"{'competition', 'co-exclusion'}",{'day28'}
Neoanaerotignum_A tabaqchaliae-Blautia stercorigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Avimicrobium caecorum-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Scatomorpha sp900759385-Merdisoma faecalis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Merdisoma faecalis-Lachnoclostridium_A stercorigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Agathobaculum sp900557315-Massilimicrobiota merdigallinarum,1,{'co-exclusion'},{'day28'}
Scatosoma sp900555925-Massilimicrobiota merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Fimenecus stercoravium-Thomasclavelia spiroformis,1,"{'competition', 'co-occurrence'}",{'day28'}
Gemmiger stercoravium-Merdibacter merdigallinarum,1,"{'competition', 'co-occurrence'}",{'day28'}
Lachnoclostridium_B sp002160985-Lactobacillus crispatus,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Mediterraneibacter vanvlietii-Lactobacillus gallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
Negativibacillus faecipullorum-Limosilactobacillus reuteri_E,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day28'}
Anaerostipes butyraticus-Limosilactobacillus reuteri_E,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day28'}
